output,Vcmax25,T_air,SW_rad,"q_ref
(humidity)","dpai
(leaf area)"
GPP,0.0,-85.59289461449855,9.007791315920322,-0.27005667769887115,0.0
H (top layer),0.0,30048.969518428727,-2.130894094966643,95.29647185636293,0.0
LE (top layer),0.0,-0.058415219141622066,5.463782962389003e-06,-0.0002728636802904333,0.0
