output,"$V_{c,\max25}$",$T_\mathrm{air}$,$SW_\mathrm{rad}$,$\iota_\mathrm{SPA}$,$q$,$P_\mathrm{bot}$,$u$
GPP,11.360307372589824,-17.069629567029402,6.348900163494066,-3.0293707101660017,-0.05381301875323357,5.19005167502713,0.14254633053013446
H,-97.59532473490385,-2162.010941854675,221.139274058284,99.11207216890298,40.215889490736735,102.61016838277229,-8.364955562349024
LE,104.71650083295646,839.9854780611174,133.34458993468692,-107.00119660543712,-43.7229317297956,-110.37657847030995,9.580012645633936
