method,vcmax_true,vcmax_init,vcmax_final,rel_err_vcmax,iota_true,iota_init,iota_final,rel_err_iota,final_loss,n_evaluations,wall_time_s
Adam,125.0,57.7,125.0167,0.000134,375.0,750.0,374.9092,0.000242,6.2181e-09,450,51124.50
Nelder-Mead,125.0,57.7,124.9772,0.000182,375.0,750.0,374.9518,0.000128,2.7784e-09,53,17879.02
